"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg24590353,0.18,0.013,0.97,1.00,chr6,149295148,UST,Body,,
cg09152047,0.33,0.013,0.97,1.00,chr1,110282835,GSTM3;GSTM3,Body;Body,,
cg00652796,0.40,0.013,0.97,1.00,chr3,96532832,EPHA6,TSS1500,,
cg21694161,-0.19,0.013,0.97,1.00,chr17,35847200,,,,
cg27513213,0.15,0.013,0.97,1.00,chr19,3978143,EEF2,Body,,
cg21120436,-0.28,0.013,0.97,1.00,chr3,173302303,NLGN1,5'UTR,,
cg23762915,-0.27,0.013,0.97,1.00,chr13,107354993,,,,
cg16035036,0.11,0.013,0.97,1.00,chr5,1363899,,,,
cg05661149,-0.15,0.013,0.97,1.00,chr5,34673551,RAI14;RAI14;RAI14,5'UTR;5'UTR;5'UTR,,
cg17969662,-0.19,0.013,0.97,1.00,chr1,221101412,,,,
cg01935413,-0.30,0.013,0.97,1.00,chr16,83636749,CDH13,Body,,
cg07715201,0.22,0.013,0.97,1.00,chr5,37840839,GDNF,TSS1500,,
cg15690525,0.23,0.013,0.97,1.00,chr8,68864964,PREX2;PREX2,Body;Body,,
cg13918628,-0.23,0.013,0.97,1.00,chr9,35610380,CD72,3'UTR,,
cg12486712,-0.14,0.013,0.97,1.00,chr5,1324156,CLPTM1L,Body,,
cg06080831,0.21,0.013,0.97,1.00,chr3,107150032,,,,
cg25509174,0.52,0.013,0.97,1.00,chr3,142607511,PCOLCE2,Body,,
cg06697175,-0.22,0.013,0.97,1.00,chr11,110047230,,,,
cg07350421,0.23,0.013,0.97,1.00,chr8,58117687,,,,
cg24662827,-0.18,0.013,0.97,1.00,chr6,17990913,,,,
cg18097246,-0.19,0.013,0.97,1.00,chr19,55821550,BRSK1,Body,,
cg02706919,-0.18,0.013,0.97,1.00,chr3,43688971,,,,
cg13779868,0.18,0.013,0.97,1.00,chr10,5488436,NET1;NET1,Body;TSS200,,
cg05423688,0.21,0.013,0.97,1.00,chr17,43299201,FMNL1,TSS200,,
cg25233816,0.14,0.013,0.97,1.00,chr3,106959817,LOC344595;LOC344595;LOC100302640,Body;Body;TSS1500,,
cg27269921,0.56,0.013,0.97,1.00,chr22,28197091,MN1;MN1,5'UTR;1stExon,,
cg07909422,-0.17,0.013,0.97,1.00,chr6,13574371,SIRT5;SIRT5,TSS1500;TSS1500,,
cg08728702,0.11,0.013,0.97,1.00,chr1,156814561,NTRK1;INSRR,Body;Body,,
cg14053997,-0.14,0.013,0.97,1.00,chr9,133358531,ASS1;ASS1,Body;Body,,
cg10584209,0.11,0.013,0.97,1.00,chr5,54528200,CCNO,Body,,
cg27324619,-0.14,0.013,0.97,1.00,chr22,31518860,INPP5J,TSS200,,
cg14745529,0.42,0.013,0.97,1.00,chr7,116594207,ST7OT1;ST7;ST7;ST7OT4,Body;Body;Body;Body,,
cg18229466,0.13,0.013,0.97,1.00,chr5,43297680,HMGCS1;HMGCS1,Body;Body,,
cg12560877,0.14,0.013,0.97,1.00,chr11,130318477,ADAMTS15,TSS1500,,
cg06629734,-0.20,0.013,0.97,1.00,chr6,39017116,GLP1R,Body,,
cg14261840,0.23,0.013,0.97,1.00,chr3,62360417,FEZF2,TSS1500,,
cg18101225,-0.22,0.013,0.97,1.00,chr4,15964913,FGFBP2,TSS200,,
cg07031352,0.17,0.013,0.97,1.00,chr14,71875703,,,,
cg19131647,-0.26,0.013,0.97,1.00,chr17,27397005,,,,
cg12146447,-0.17,0.013,0.97,1.00,chr17,47926239,TAC4;TAC4;TAC4;TAC4;TAC4,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,,
cg13032151,-0.27,0.013,0.97,1.00,chr7,105650200,FLJ23834,Body,,
cg16365842,-0.25,0.013,0.97,1.00,chr6,170191057,C6orf122;C6orf208,Body;Body,,
cg25579867,0.19,0.013,0.97,1.00,chr5,10647125,ANKRD33B,Body,,
cg01775414,0.19,0.013,0.97,1.00,chr22,45405404,PHF21B;PHF21B,1stExon;Body,,
cg04731618,-0.22,0.013,0.97,1.00,chr14,105355938,KIAA0284;KIAA0284,Body;Body,,
cg27224809,-0.18,0.013,0.97,1.00,chr1,230458334,PGBD5,3'UTR,,
cg23496331,-0.25,0.013,0.97,1.00,chr5,149512405,PDGFRB,Body,,
cg19822851,0.24,0.013,0.97,1.00,chr19,19315246,NR2C2AP,TSS1500,,
cg01305705,0.12,0.013,0.97,1.00,chr4,24509982,,,,
cg19285633,-0.19,0.013,0.97,1.00,chr2,8168189,,,,
cg24988789,0.19,0.013,0.97,1.00,chr14,105332484,KIAA0284;KIAA0284,5'UTR;5'UTR,,
cg01750032,0.19,0.013,0.97,1.00,chr12,5540426,NTF3,TSS1500,,
cg06599390,-0.32,0.013,0.97,1.00,chr19,695568,PRSSL1,TSS200,,
cg19538089,0.32,0.013,0.97,1.00,chr2,171673547,GAD1;GAD1;GAD1;GAD1,5'UTR;1stExon;5'UTR;1stExon,,
cg03978041,-0.13,0.013,0.97,1.00,chr1,200862726,C1orf106;C1orf106,TSS1500;Body,,
cg23279192,0.17,0.013,0.97,1.00,chr11,79042806,ODZ4,5'UTR,,
cg17794320,-0.23,0.013,0.97,1.00,chr15,90190822,KIF7,Body,,
cg13538006,-0.13,0.013,0.97,1.00,chr9,95897313,NINJ1,TSS1500,,
cg26083389,0.43,0.013,0.97,1.00,chr5,132323789,,,,
cg08111167,0.19,0.013,0.97,1.00,chr4,82135987,,,,
cg20466895,-0.27,0.013,0.97,1.00,chr7,83319354,,,,
cg00782200,0.23,0.013,0.97,1.00,chr2,145280523,,,,
cg10835986,-0.21,0.013,0.97,1.00,chr7,43577361,HECW1,Body,,
cg08955099,-0.20,0.013,0.97,1.00,chr2,212895973,ERBB4;ERBB4,Body;Body,,
cg15405572,-0.23,0.013,0.97,1.00,chr12,78224552,NAV3,TSS1500,,
cg25139718,-0.16,0.013,0.97,1.00,chr1,2027575,PRKCZ;PRKCZ,Body;5'UTR,,
cg05471090,0.31,0.013,0.97,1.00,chr18,71959795,CYB5A;CYB5A,TSS1500;TSS1500,,
cg13557668,0.47,0.013,0.97,1.00,chr5,135265931,FBXL21,TSS200,,
cg07683636,0.17,0.013,0.97,1.00,chr2,219940977,NHEJ1,3'UTR,,
cg13251484,0.16,0.013,0.97,1.00,chr14,74180217,PNMA1,1stExon,,
cg16221201,0.14,0.013,0.97,1.00,chr5,71781569,ZNF366,5'UTR,,
cg01815567,0.36,0.013,0.97,1.00,chr4,4866091,,,,
cg07166084,-0.28,0.013,0.97,1.00,chr1,242217440,,,,
cg14057434,0.25,0.013,0.97,1.00,chr12,69978378,CCT2,TSS1500,,
cg14830485,-0.21,0.013,0.97,1.00,chr20,21070832,,,,
cg07672076,0.29,0.013,0.97,1.00,chr10,76789460,MYST4,Body,,
cg15393022,-0.21,0.013,0.97,1.00,chr1,54775837,SSBP3;SSBP3;SSBP3,Body;Body;Body,,
cg14566857,-0.15,0.013,0.97,1.00,chr12,56753926,STAT2,TSS200,,
cg13030674,0.34,0.013,0.97,1.00,chr11,86511386,PRSS23,TSS200,,
cg27196999,-0.18,0.013,0.97,1.00,chr4,69216111,YTHDC1;YTHDC1,TSS1500;TSS1500,,
cg15712413,-0.33,0.013,0.97,1.00,chr18,657270,C18orf56;TYMS,3'UTR;TSS1500,,
cg14412134,-0.19,0.013,0.97,1.00,chr14,64912417,MTHFD1,Body,,
cg11088682,-0.24,0.013,0.97,1.00,chr3,172376821,NCEH1;NCEH1;NCEH1;NCEH1,5'UTR;Body;Body;5'UTR,,
cg14299508,-0.25,0.013,0.97,1.00,chr8,105907690,,,,
cg26798936,-0.23,0.013,0.97,1.00,chr16,66162203,,,,
cg16792632,0.28,0.013,0.97,1.00,chr14,64761208,ESR2;ESR2;ESR2,TSS200;TSS200;5'UTR,,
cg26999029,0.34,0.013,0.97,1.00,chr17,71639970,SDK2,Body,,
cg06846669,0.31,0.013,0.97,1.00,chr5,134879739,,,,
cg12211856,0.32,0.013,0.97,1.00,chr1,243646691,SDCCAG8,Body,,
cg14442746,-0.22,0.013,0.97,1.00,chr14,56264572,C14orf34;C14orf34,TSS1500;TSS1500,,
cg03607855,-0.24,0.013,0.97,1.00,chr1,244078356,,,,
cg01428115,0.17,0.013,0.97,1.00,chr11,46402506,MDK;MDK;MDK,TSS200;TSS1500;TSS1500,,
cg11396473,0.16,0.013,0.97,1.00,chr14,32670418,,,,
cg21594702,0.25,0.013,0.97,1.00,chr5,82771513,VCAN;VCAN;VCAN;VCAN,5'UTR;5'UTR;5'UTR;5'UTR,,
cg20798460,-0.17,0.013,0.97,1.00,chr2,31449901,,,,
cg04685632,-0.15,0.013,0.97,1.00,chr20,62082611,KCNQ2;KCNQ2;KCNQ2;KCNQ2;KCNQ2,Body;Body;Body;Body;Body,,
cg08484984,0.21,0.013,0.97,1.00,chr2,61298781,KIAA1841;KIAA1841,Body;Body,,
cg26543989,-0.17,0.013,0.97,1.00,chr17,42187485,HDAC5;HDAC5,Body;Body,,
cg17204557,0.18,0.013,0.97,1.00,chr2,121223909,LOC84931,Body,,
cg01108713,0.14,0.013,0.97,1.00,chr3,53857939,CHDH,Body,,
cg13100965,0.34,0.013,0.97,1.00,chr7,64349450,,,,
cg08849717,0.19,0.013,0.97,1.00,chr16,71518031,ZNF19,5'UTR,,
cg09797312,0.27,0.013,0.97,1.00,chr18,74206912,,,,
cg02068351,-0.14,0.013,0.97,1.00,chr6,132832336,STX7,5'UTR,,
cg00557959,-1.05,0.013,0.97,1.00,chr13,113296414,,,,
cg16415785,0.30,0.013,0.97,1.00,chr3,42305237,CCK,5'UTR,,
cg03626025,-0.18,0.013,0.97,1.00,chr15,43478095,CCNDBP1;CCNDBP1;CCNDBP1;CCNDBP1,TSS200;Body;Body;Body,,
cg09455805,-0.19,0.013,0.97,1.00,chr5,1244925,SLC6A18,Body,,
cg20254763,0.27,0.013,0.97,1.00,chr1,175122830,,,,
cg08116238,-0.13,0.013,0.97,1.00,chr12,53693322,C12orf10,TSS200,,
cg07775309,0.36,0.013,0.97,1.00,chr3,12595852,,,,
cg02848750,-0.78,0.013,0.97,1.00,chr16,89668406,,,,
cg13416310,0.27,0.013,0.97,1.00,chr2,189156378,GULP1,TSS1500,,
cg11641222,0.13,0.013,0.97,1.00,chr8,121566699,SNTB1,Body,,
cg11740026,-0.34,0.013,0.97,1.00,chr1,6093770,KCNAB2;KCNAB2,5'UTR;5'UTR,,
cg15150463,-0.21,0.013,0.97,1.00,chr6,90599089,,,,
cg02108080,-0.21,0.013,0.97,1.00,chr7,36136383,,,,
cg04172395,0.19,0.013,0.97,1.00,chr11,132177605,NTM;NTM;NTM;NTM,Body;Body;Body;Body,,
cg11243029,0.16,0.013,0.97,1.00,chr1,85929755,DDAH1;DDAH1,Body;5'UTR,,
cg05376227,-0.38,0.013,0.97,1.00,chr1,171111193,FMO6P,Body,,
cg15262505,-0.48,0.013,0.97,1.00,chr7,1428806,,,,
cg07563569,0.48,0.013,0.97,1.00,chr17,47653309,NXPH3;NXPH3,1stExon;5'UTR,,
cg11731821,-0.15,0.013,0.97,1.00,chr20,43277540,ADA,Body,,
cg06402315,-0.25,0.013,0.97,1.00,chr16,52588928,,,,
cg03706883,0.36,0.013,0.97,1.00,chr5,61298898,,,,
cg26116551,0.18,0.013,0.97,1.00,chr19,30863260,ZNF536,TSS200,,
cg27641532,0.20,0.013,0.97,1.00,chr6,27648317,,,,
cg12809483,-0.17,0.013,0.97,1.00,chr5,72702746,,,,
cg23006204,0.22,0.013,0.97,1.00,chr9,130700866,DPM2,TSS200,,
cg11132536,-0.35,0.013,0.97,1.00,chr14,74711944,VSX2,Body,,
cg00259785,0.18,0.013,0.97,1.00,chr19,35263967,ZNF599;ZNF599,1stExon;5'UTR,,
cg02344891,-0.27,0.013,0.97,1.00,chr14,101350872,MIR136;RTL1;MIR432,TSS200;1stExon;Body,,
cg20562447,-0.14,0.013,0.97,1.00,chr11,68611596,,,,
cg12931625,0.14,0.013,0.97,1.00,chr4,25235765,PI4K2B;PI4K2B,1stExon;5'UTR,,
cg02590572,0.15,0.013,0.97,1.00,chr1,111769481,CHI3L2;CHI3L2,TSS1500;TSS1500,,
cg25754755,-0.24,0.013,0.97,1.00,chr2,145089003,GTDC1,5'UTR,,
cg06952099,0.29,0.013,0.97,1.00,chr7,20818657,,,,
cg18072147,0.21,0.013,0.97,1.00,chr10,712592,DIP2C,Body,,
cg04585506,0.15,0.013,0.97,1.00,chr6,159244221,,,,
cg19591077,0.38,0.013,0.97,1.00,chr7,66368242,,,,
cg27656459,-0.25,0.013,0.97,1.00,chr12,116796562,,,,
cg15234492,0.26,0.013,0.97,1.00,chr12,122019076,KDM2B;KDM2B,TSS200;TSS1500,,
cg03384094,0.19,0.013,0.97,1.00,chr8,19172048,SH2D4A,5'UTR,,
cg12960467,0.29,0.013,0.97,1.00,chr5,133703730,CDKL3;CDKL3,TSS1500;TSS1500,,
cg00067274,-0.29,0.013,0.97,1.00,chr4,155313256,DCHS2;DCHS2,TSS1500;Body,,
cg15514918,-0.17,0.013,0.97,1.00,chr1,236087201,,,,
cg11438560,0.16,0.013,0.97,1.00,chr5,148521623,ABLIM3,5'UTR,,
cg13691622,-0.29,0.013,0.97,1.00,chr18,77273602,NFATC1;NFATC1;NFATC1;NFATC1,Body;Body;Body;Body,,
cg13296436,0.19,0.013,0.97,1.00,chr17,38474488,RARA;RARA;RARA,5'UTR;TSS200;TSS200,,
cg07940971,0.14,0.013,0.97,1.00,chr10,568540,DIP2C,Body,,
cg08523756,-0.19,0.013,0.97,1.00,chr11,41165407,,,,
cg23986671,0.35,0.013,0.97,1.00,chr21,28339262,ADAMTS5;ADAMTS5,1stExon;5'UTR,,
cg16529548,-0.20,0.013,0.97,1.00,chr2,101978981,CREG2,Body,,
cg17416338,0.12,0.013,0.97,1.00,chr19,5074717,KDM4B,Body,,
cg06861572,0.19,0.013,0.97,1.00,chr2,241760829,KIF1A,TSS1500,,
cg11722376,0.25,0.013,0.97,1.00,chr2,130691882,LOC389033,Body,,
cg10591174,-0.23,0.013,0.97,1.00,chr12,111358446,MYL2,TSS200,,
cg03404143,0.41,0.013,0.97,1.00,chr10,102986973,LBX1,3'UTR,,
cg06439736,-0.16,0.013,0.97,1.00,chr10,133955534,JAKMIP3,Body,,
cg09757620,0.13,0.013,0.97,1.00,chr6,56954917,ZNF451;ZNF451;ZNF451;ZNF451,5'UTR;1stExon;1stExon;5'UTR,,
cg06247837,-0.17,0.013,0.97,1.00,chr17,37820135,TCAP;STARD3;STARD3;STARD3,TSS1500;3'UTR;3'UTR;3'UTR,,
cg03389525,0.40,0.013,0.97,1.00,chr8,30241466,RBPMS;RBPMS;RBPMS;RBPMS,TSS1500;TSS1500;TSS1500;TSS1500,,
cg16028117,-0.35,0.013,0.97,1.00,chr3,11348436,ATG7;ATG7;ATG7,Body;Body;Body,,
cg24529493,0.12,0.013,0.97,1.00,chr4,53591105,,,,
cg19400238,-0.18,0.013,0.97,1.00,chr4,165118368,MARCH1;ANP32C,5'UTR;1stExon,,
cg07042546,-0.15,0.013,0.97,1.00,chr11,117104996,RNF214;RNF214,Body;Body,,
cg03476860,0.16,0.013,0.97,1.00,chr12,30948794,,,,
cg01606085,0.21,0.013,0.97,1.00,chr4,166794267,TLL1,TSS200,,
cg04778271,0.22,0.013,0.97,1.00,chr2,219824818,CDK5R2,1stExon,,
cg07516712,-0.22,0.013,0.97,1.00,chr7,107798547,NRCAM;NRCAM;NRCAM,TSS1500;Body;Body,,
cg20699305,0.25,0.013,0.97,1.00,chr1,18152403,ACTL8,Body,,
cg11876012,0.14,0.013,0.97,1.00,chr16,101686,POLR3K,Body,,
cg13618045,0.26,0.013,0.97,1.00,chr19,12913155,PRDX2;PRDX2,TSS1500;TSS1500,,
cg22481770,0.21,0.013,0.97,1.00,chr3,156324118,,,,
cg23363832,0.31,0.013,0.97,1.00,chr3,139258939,RBP1;RBP1;RBP1,TSS1500;TSS1500;TSS1500,,
cg18818484,-0.21,0.013,0.97,1.00,chr1,11590043,PTCHD2,Body,,
cg01751584,-0.18,0.013,0.97,1.00,chr9,100159780,LOC286359,TSS1500,,
cg04886221,-0.21,0.013,0.97,1.00,chr1,27669729,SYTL1,5'UTR,,
cg01067809,0.25,0.013,0.97,1.00,chr6,31939546,DOM3Z;STK19;STK19;STK19,5'UTR;TSS200;Body;TSS200,,
cg25197194,-0.16,0.013,0.97,1.00,chr3,128758787,CCDC48,3'UTR,,
cg04661194,-0.14,0.013,0.97,1.00,chr5,90042723,GPR98;GPR98,Body;Body,,
cg13773633,-0.23,0.013,0.97,1.00,chr9,134701070,,,,
cg07785726,-0.19,0.013,0.97,1.00,chr13,50159788,RCBTB1,TSS200,,
cg22410724,0.24,0.013,0.97,1.00,chr21,46812996,,,,
cg15471402,0.59,0.013,0.97,1.00,chr4,170712930,,,,
cg25513635,-0.28,0.013,0.97,1.00,chr19,18981378,GDF1;LASS1,5'UTR;3'UTR,,
cg17575906,-0.16,0.013,0.97,1.00,chr5,111090585,C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13;C5orf13,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,,
cg00333154,0.31,0.013,0.97,1.00,chr6,106808703,,,,
cg20670302,0.50,0.013,0.97,1.00,chr18,43652172,PSTPIP2;PSTPIP2,1stExon;5'UTR,,
cg19633231,0.34,0.013,0.97,1.00,chr10,135139570,CALY,Body,,
cg05697734,0.17,0.013,0.97,1.00,chr5,89600962,,,,
cg05265071,-0.17,0.013,0.97,1.00,chr15,65032946,RBPMS2,3'UTR,,
cg10894682,-0.12,0.013,0.97,1.00,chr8,47120767,,,,
cg08210871,-0.19,0.013,0.97,1.00,chr14,105676846,BRF1;BRF1,3'UTR;3'UTR,,
cg03479942,0.29,0.013,0.97,1.00,chr16,69341763,SNTB2,3'UTR,,
cg00707300,0.19,0.013,0.97,1.00,chr2,209130779,PIKFYVE;PIKFYVE,TSS1500;TSS1500,,
cg14669379,0.19,0.013,0.97,1.00,chr1,112058559,ADORA3,Body,,
cg15798455,-0.32,0.013,0.97,1.00,chr3,71833907,PROK2;PROK2,Body;Body,,
cg05470809,0.18,0.013,0.97,1.00,chr4,175205489,KIAA1712;KIAA1712;FBXO8,5'UTR;5'UTR;TSS200,,
cg14611666,0.31,0.013,0.97,1.00,chr4,13429528,RAB28;RAB28;RAB28,Body;Body;Body,,
cg09018862,-0.57,0.013,0.97,1.00,chr19,42882644,MEGF8,3'UTR,,
cg23019037,0.17,0.013,0.97,1.00,chr1,224622598,WDR26;WDR26,TSS1500;TSS1500,,
cg11638320,-0.24,0.013,0.97,1.00,chr3,150638295,,,,
cg02558476,-0.12,0.013,0.97,1.00,chr16,2880326,ZG16B,1stExon,,
cg09880291,0.28,0.013,0.97,1.00,chr7,27184109,HOXA5,TSS1500,,
cg03350366,0.24,0.013,0.97,1.00,chr11,71752919,NUMA1,5'UTR,,
cg04197371,-0.23,0.013,0.97,1.00,chr5,20108891,,,,
cg12918536,-0.21,0.013,0.97,1.00,chr15,62891943,,,,
cg18693015,0.17,0.013,0.97,1.00,chr4,2625790,FAM193A,TSS1500,,
cg21869315,-0.17,0.013,0.97,1.00,chr12,125425310,,,,
cg15732079,0.13,0.013,0.97,1.00,chr7,22898516,,,,
cg25972092,0.16,0.013,0.97,1.00,chr12,117363249,FBXW8;FBXW8,Body;Body,,
cg14786024,0.56,0.013,0.97,1.00,chr3,133748678,SLCO2A1;SLCO2A1,1stExon;5'UTR,,
cg12149905,0.23,0.013,0.97,1.00,chr3,61547208,PTPRG,TSS200,,
cg11505417,-0.21,0.013,0.97,1.00,chr1,22966051,C1QA,3'UTR,,
cg02709432,-0.17,0.013,0.97,1.00,chr8,120651236,ENPP2;ENPP2;ENPP2,TSS200;TSS200;TSS200,,
cg03440556,0.52,0.013,0.97,1.00,chr10,102107757,SCD,Body,,
cg00732348,0.20,0.013,0.97,1.00,chr10,135149697,CALY,5'UTR,,
cg06244016,-0.20,0.013,0.97,1.00,chr6,151186511,MTHFD1L,TSS200,,
cg08163163,-0.33,0.013,0.97,1.00,chr1,16415115,,,,
cg19272349,-0.77,0.013,0.97,1.00,chr13,37681255,CSNK1A1L,TSS1500,,
cg24120357,0.39,0.013,0.97,1.00,chr5,118691415,TNFAIP8;TNFAIP8,Body;TSS200,,
cg15923350,-0.29,0.013,0.97,1.00,chr1,163038703,RGS4;RGS4;RGS4;RGS4,1stExon;5'UTR;TSS1500;TSS200,,
cg03561637,-0.16,0.013,0.97,1.00,chr5,309484,AHRR;PDCD6,Body;Body,,
cg08396985,0.12,0.013,0.97,1.00,chr2,5896489,,,,
cg04075428,0.20,0.013,0.97,1.00,chr1,204042338,SOX13;SOX13,1stExon;5'UTR,,
cg13253980,0.39,0.013,0.97,1.00,chr10,95360814,RBP4,5'UTR,,
cg06952471,0.15,0.013,0.97,1.00,chr6,72596748,RIMS1,1stExon,,
cg01258200,0.22,0.013,0.97,1.00,chr4,77819018,ANKRD56,TSS200,,
cg25890575,-0.59,0.013,0.97,1.00,chr7,157369942,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,,
cg06779449,0.42,0.013,0.97,1.00,chr20,42544663,TOX2;TOX2;TOX2,TSS200;Body;TSS200,,
cg19172447,0.23,0.013,0.97,1.00,chr12,132551483,EP400,Body,,
cg21291449,0.16,0.013,0.97,1.00,chr6,30614400,C6orf136;C6orf136;C6orf136,TSS1500;TSS1500;TSS1500,,
cg17343107,-0.20,0.013,0.97,1.00,chr2,103240272,SLC9A2,Body,,
cg09219813,-0.19,0.013,0.97,1.00,chr3,152017017,MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1,TSS200;TSS200;5'UTR;TSS200;5'UTR;TSS200;TSS200,,
cg23067355,-0.22,0.013,0.97,1.00,chr6,125425012,,,,
cg18234352,-0.26,0.013,0.97,1.00,chr19,18977405,UPF1,3'UTR,,
cg26666968,0.43,0.013,0.97,1.00,chr1,35542667,,,,
cg02960810,-0.24,0.013,0.97,1.00,chr10,74114920,DNAJB12;DNAJB12,TSS200;TSS200,,
cg02265721,0.14,0.013,0.97,1.00,chr12,64916007,,,,
cg27016579,-0.31,0.013,0.97,1.00,chr5,168778028,,,,
cg14135214,0.21,0.013,0.97,1.00,chr11,705999,EPS8L2,TSS200,,
cg13252401,0.25,0.013,0.97,1.00,chr2,233793311,NGEF;NGEF,Body;TSS1500,,
cg25382900,-0.17,0.013,0.97,1.00,chr1,12148326,TNFRSF8,Body,,
cg15444621,-0.18,0.013,0.97,1.00,chr13,113611794,,,,
cg14202338,0.26,0.013,0.97,1.00,chr19,3586844,GIPC3,Body,,
cg15140334,0.51,0.013,0.97,1.00,chr20,51588780,TSHZ2,TSS200,,
cg24059404,-0.19,0.013,0.97,1.00,chr4,184580366,C4orf41;RWDD4A;C4orf41,TSS200;TSS200;TSS200,,
cg22382836,-0.25,0.013,0.97,1.00,chr19,723036,PALM;PALM,Body;Body,,
cg00289546,0.28,0.013,0.97,1.00,chr2,211089678,ACADL,Body,,
cg03663984,-0.17,0.013,0.97,1.00,chr3,69171495,LMOD3,1stExon,,
cg23258615,0.14,0.013,0.97,1.00,chr10,81961468,ANXA11;ANXA11;ANXA11,5'UTR;5'UTR;5'UTR,,
cg05195700,0.21,0.013,0.97,1.00,chr18,42530797,SETBP1,Body,,
cg01185470,-0.11,0.013,0.97,1.00,chr9,134157096,,,,
cg12937501,0.20,0.013,0.97,1.00,chr2,11822155,,,,
cg07747559,0.38,0.013,0.97,1.00,chr4,76857252,NAAA;NAAA,Body;Body,,
cg23748463,0.20,0.013,0.97,1.00,chr7,4948052,MMD2;MMD2,Body;Body,,
cg26796621,-0.15,0.013,0.97,1.00,chr19,44103176,ZNF576;ZNF576,Body;Body,,
cg12075586,-0.25,0.013,0.97,1.00,chr12,45088477,NELL2;NELL2;NELL2;NELL2;NELL2,Body;Body;Body;Body;Body,,
cg03298096,-0.22,0.013,0.97,1.00,chr11,59596955,GIF,3'UTR,,
cg14571122,0.16,0.013,0.97,1.00,chr17,72366276,GPR142,Body,,
cg05032788,-0.17,0.013,0.97,1.00,chr7,150756459,SLC4A2;CDK5;CDK5,TSS200;TSS1500;TSS1500,,
cg21255942,0.44,0.013,0.97,1.00,chr22,39954186,,,,
cg03078551,-0.25,0.013,0.97,1.00,chr17,41656298,,,,
cg03600259,-0.31,0.013,0.97,1.00,chr6,164052180,,,,
cg25044834,0.18,0.013,0.97,1.00,chr11,68177524,LRP5,Body,,
cg18765678,-0.16,0.013,0.97,1.00,chr1,217804338,GPATCH2;SPATA17;GPATCH2,1stExon;TSS1500;5'UTR,,
cg13333233,-0.25,0.014,0.97,1.00,chr10,10380913,,,,
cg11401218,0.16,0.014,0.97,1.00,chr1,12289777,VPS13D;VPS13D,TSS1500;TSS1500,,
cg00201568,0.16,0.014,0.97,1.00,chr3,71214907,FOXP1,Body,,
cg19786648,-0.23,0.014,0.97,1.00,chr17,71824806,C17orf54,TSS200,,
cg13524082,0.27,0.014,0.97,1.00,chr11,119294283,THY1,TSS200,,
cg06956273,-0.26,0.014,0.97,1.00,chr1,110155623,GNAT2;GNAT2,5'UTR;1stExon,,
cg22702351,0.48,0.014,0.97,1.00,chr6,163673239,PACRG;PACRG;PACRG,Body;Body;Body,,
cg11769163,0.22,0.014,0.97,1.00,chr20,23030102,THBD,1stExon,,
cg04838988,0.14,0.014,0.97,1.00,chr8,70984437,PRDM14,TSS1500,,
cg00622128,-0.20,0.014,0.97,1.00,chr16,86714999,,,,
cg01981606,0.20,0.014,0.97,1.00,chr16,87678214,JPH3,Body,,
cg19437258,0.31,0.014,0.97,1.00,chr13,36872155,C13orf38;C13orf38;C13orf38;C13orf38;C13orf38;C13orf38,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,,
cg13646565,0.11,0.014,0.97,1.00,chr19,21240978,ZNF430,3'UTR,,
cg13168042,-0.27,0.014,0.97,1.00,chr13,23755059,SGCG;SGCG,1stExon;5'UTR,,
cg12615766,0.38,0.014,0.97,1.00,chr8,59058273,FAM110B,5'UTR,,
cg08401606,0.16,0.014,0.97,1.00,chr17,48046798,DLX4;DLX4,5'UTR;1stExon,,
cg01965425,0.17,0.014,0.97,1.00,chr4,89629891,FAM13AOS,TSS1500,,
cg26156382,0.30,0.014,0.97,1.00,chr6,84222308,PRSS35;PRSS35;PRSS35;PRSS35,5'UTR;1stExon;1stExon;5'UTR,,
cg15375596,-0.14,0.014,0.97,1.00,chr15,99434736,IGF1R,Body,,
cg27619475,0.21,0.014,0.97,1.00,chr17,73083881,SLC16A5,TSS200,,
cg24211476,-0.26,0.014,0.97,1.00,chr10,88528158,BMPR1A,5'UTR,,
cg00608605,-0.25,0.014,0.97,1.00,chr6,31698109,DDAH2,TSS200,,
cg16924010,0.35,0.014,0.97,1.00,chr3,194018158,,,,
cg17762554,-0.20,0.014,0.97,1.00,chr2,112435953,,,,
cg15197893,-0.16,0.014,0.97,1.00,chr1,151416412,POGZ;POGZ;POGZ,5'UTR;5'UTR;5'UTR,,
cg23119487,-0.17,0.014,0.97,1.00,chr15,79599853,,,,
cg06495038,-0.14,0.014,0.97,1.00,chr5,76247647,CRHBP,TSS1500,,
cg21384203,0.44,0.014,0.97,1.00,chr22,19137222,GSC2,Body,,
cg09625158,0.21,0.014,0.97,1.00,chr6,32764901,,,,
cg16758764,0.22,0.014,0.97,1.00,chr3,113529180,ATP6V1A,3'UTR,,
